id,output
14,(ORDER (PIZZAORDER please arrange (TOPPING to ) get thrteen (TOPPING green ) olives pizzas now ) )
15,(ORDER (PIZZAORDER could you give me (NUMBER four ) (SIZE lunch ) pies along (TOPPING with ) capers added with ham and olives ) )
16,(ORDER i like (PIZZAORDER (NUMBER a ) (SIZE medium-sized ) pine apple (TOPPING and ) chicken pie (TOPPING with ) no a (QUANTITY little ) bit cheese ) )
17,(ORDER (PIZZAORDER i'd like (NUMBER to ) put a order in for a medium (NUMBER pizza ) (SIZE with ) cheddar cheese (TOPPING and ) olive and no canadian (NOT (TOPPING bacon ) please ) ) )
18,(ORDER (PIZZAORDER coud you get (NOT (TOPPING me ) a (NUMBER xl ) pizza with (TOPPING sausage ) and pickles but (NOT (TOPPING without ) roasted eggplant ) ) )
19,(ORDER (PIZZAORDER i'llhave a capers and bacon (NUMBER pizza ) smal please (TOPPING and ) i want peppers on it too ) )
20,(ORDER lets get (PIZZAORDER (NUMBER two ) (SIZE large ) 7 ups one (NUMBER medium ) sprite and (QUANTITY an ) a lot of large (TOPPING vegn ) pizza (NUMBER with ) a lot of (TOPPING pineapple ) and (NUMBER a ) lot of mushrooms ) )
21,(ORDER i'd have a large (PIZZAORDER (NUMBER capers ) (SIZE sweet ) corn tuna (TOPPING pie ) ) )
22,(ORDER (PIZZAORDER (NUMBER could ) you get me (NUMBER a ) lage pie (TOPPING along ) with (TOPPING yellow ) peppers lamb but (QUANTITY please ) avoid extra hams ) )
23,(ORDER i wish (PIZZAORDER (NOT (TOPPING to ) have (NUMBER 1 ) pizza let's (TOPPING do ) parmesan and (TOPPING leeks ) toppings and (NUMBER please: ) zero olives ) ) )
24,(ORDER (PIZZAORDER (NUMBER four ) (SIZE personal ) pizzas with (TOPPING tomato ) and (TOPPING pickles ) ) )
25,(ORDER (PIZZAORDER (NUMBER for ) oday please (TOPPING make ) me a (TOPPING pesonal ) pickled onions (TOPPING sausage ) pizza with (NUMBER a ) little bit cheese ) )
26,(ORDER (PIZZAORDER (NUMBER twelve ) xl pizzas (TOPPING with ) red onions garlic (NUMBER and ) ham ) )
27,(ORDER i need (PIZZAORDER to lace (TOPPING an ) order for (NUMBER a ) (SIZE medium-size ) pizza with alfredo chicken (TOPPING carrots ) and pineapple (TOPPING please ) ) )
28,(ORDER (PIZZAORDER (NUMBER a ) (SIZE personal ) pizza with (TOPPING pineapple ) lamb onions pine apple bacon (TOPPING sausage ) and (QUANTITY a ) lot (TOPPING of ) cheese ) )
29,(ORDER i'd (PIZZAORDER prefer (NUMBER to ) go with a large-size (NUMBER pizza ) (SIZE with ) everything meatball but without (TOPPING mushrooms ) ) )
30,(ORDER (PIZZAORDER could you get me (NUMBER a ) (SIZE personal ) pizza with (TOPPING mushy ) peas and mint (NUMBER and ) please hold the (TOPPING pepperoni ) that's all ) )
31,(ORDER (PIZZAORDER start an order for (NUMBER a ) (SIZE lunch ) (CONTAINERTYPE pizza ) with (DRINKTYPE capers ) and a (NUMBER combiation ) (DRINKTYPE but no ) garlic ) )
32,(ORDER good afternoon i'm (PIZZAORDER in the mood for a medium-ize (NUMBER with ) (SIZE black ) beans and pineapple (NOT (TOPPING no ) sausage ) ) )
33,(ORDER (PIZZAORDER please arrange to get (NUMBER a ) (DRINKTYPE zucchini ) and (NUMBER mint ) (VOLUME pizza with ) (DRINKTYPE bacon ) on it ) )
34,(ORDER (PIZZAORDER let's see (NUMBER i ) want a a (NUMBER pizza ) and make it (TOPPING everythig ) style also i want double hummus but no gorgonzola that's all ) )
35,(ORDER (PIZZAORDER good evening how (TOPPING are ) you please put up (NUMBER two ) (SIZE medium-sized ) pizzas with black olives (TOPPING and ) bacon but (TOPPING hold ) the a (QUANTITY little ) (TOPPING cheese ) please ) )
36,(ORDER i'm having (PIZZAORDER (NUMBER a ) bunch (NUMBER of ) people over tonight so i need a (NUMBER large ) (SIZE pie ) for the (QUANTITY toppings ) (NOT (TOPPING i'd ) like banna peppers and onions but please make sure there is ) ) )
37,(ORDER (PIZZAORDER (NUMBER 3 ) broccoli and (NUMBER zucchini ) (DRINKTYPE pizzas ) ) )
38,(ORDER i'd be (PIZZAORDER (NUMBER happy ) (STYLE with ) a medium-size pizza with jalepenos and (TOPPING cheese ) but (TOPPING no ) lamb ) )
39,(ORDER i would (PIZZAORDER (NUMBER like ) (SIZE your ) a large-size with lmon zest onions (TOPPING and ) pineapples ) )
40,(ORDER (PIZZAORDER (NUMBER please ) put up sevn (NUMBER small ) (SIZE pizzas ) with zucchini (TOPPING and ) onions (TOPPING and ) add (NUMBER sevn ) bottles of sprite with it ) )
41,(ORDER i need (PIZZAORDER (NUMBER an ) (TOPPING order ) placed for (NUMBER a ) xl pie (TOPPING with ) pepper hamburger pineapple ) )
42,(ORDER (PIZZAORDER for tonight i (NUMBER just ) want fourteen (TOPPING pies ) with (TOPPING bell ) peppers and (TOPPING lees ) but don't add pepperoni ) )
43,(ORDER (PIZZAORDER (NUMBER 14 ) (SIZE med ) a little bit (TOPPING green ) pepper a (QUANTITY little ) bit (TOPPING cheeseburger ) pizzas please ) )
44,(ORDER (PIZZAORDER (NUMBER two ) prsonal pizzas (TOPPING with ) pine (TOPPING apple ) and low (TOPPING fat ) cheese ) )
45,(ORDER tonight i'm (PIZZAORDER in the mood or 7 extra (NUMBER large ) (SIZE pizzas ) with feta cheese (TOPPING mushrooms ) and black olives (TOPPING and ) six large (NUMBER pizzas ) with pepperoni sausage and mushrooms ) )
46,(ORDER i love (PIZZAORDER (NUMBER to ) (SIZE have ) (NUMBER a ) (NUMBER medium-sized ) vegetarian pizza (STYLE with ) tomatoes and (TOPPING fresh ) red cabbage ) )
47,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium-sized ) pizza with basil and (TOPPING capers ) ) )
48,(ORDER i want (PIZZAORDER (NUMBER to ) (STYLE finalize ) with a extra (QUANTITY large ) all (TOPPING the ) veggies pizza and (NUMBER a ) (VOLUME two liter ) (DRINKTYPE moutain dew ) ) )
49,(ORDER id like (PIZZAORDER (NUMBER to ) (STYLE secure ) lage (NUMBER pizza ) along with (TOPPING red ) onion and kimchi but hold onions ) )
50,(ORDER i think (PIZZAORDER (TOPPING ill ) stick with seven lunch (TOPPING sized ) pizzas with (TOPPING bacon ) and (TOPPING ham ) on them ) )
51,(ORDER i ould (PIZZAORDER (NUMBER love ) to get one (NUMBER xl ) pie along (TOPPING with ) mint (TOPPING and ) big meat but hold pepperoni ) )
52,(ORDER (PIZZAORDER please help (TOPPING me ) order (NUMBER three ) (SIZE small ) pizzas i (TOPPING want ) bacon on (QUANTITY all ) (SIZE of ) them as well as ham thanks ) )
53,(ORDER (PIZZAORDER for today i (NUMBER just ) want a pizza with (TOPPING ricotta ) cheese ham (TOPPING and ) tuna ) )
54,(ORDER i'd be (PIZZAORDER (NUMBER interested ) in a medium (NUMBER ham ) (SIZE and ) bacon pie (TOPPING with ) extra cheese ) )
55,(ORDER i just need (PIZZAORDER (SIZE a ) (TOPPING cucumber ) and pesto (TOPPING pizza ) (TOPPING without ) all the (NOT (STYLE vegies ) ) ) )
56,(ORDER we need (PIZZAORDER (NUMBER a ) pizza and (TOPPING make ) sure (TOPPING there's ) heavy on tomatoe sauce on it and (STYLE red ) onion sauce on there also but definitely no red onion thanks a lot ) )
57,(ORDER let me (PIZZAORDER secure (NUMBER a ) (STYLE med ) pizza with (TOPPING sauce ) (TOPPING ground ) beef onions and (TOPPING mushrooms ) with a (TOPPING med ) lemonice tea ) )
58,(ORDER (PIZZAORDER (NUMBER 11 ) (SIZE large-size ) pizzas with banana pepper (TOPPING and ) parmasan ) )
59,(ORDER i would like (PIZZAORDER fifteen pizzas (TOPPING topped ) with (TOPPING mushroom ) and (NUMBER four ) (DRINKTYPE diet sprites ) which are xl along with three pepsis ) )
60,(ORDER let me have (PIZZAORDER (NUMBER a ) (SIZE personal ) pizza with (TOPPING artichokes ) and (TOPPING balsamic ) glaze do (NUMBER not ) include sauce ) )
61,(ORDER please make me (DRINKORDER (NUMBER 14 ) (SIZE small ) (DRINKTYPE cherry pepi ) one (NUMBER medium ) (SIZE coke ) (DRINKTYPE two ) small (NUMBER sprites ) (SIZE and ) (DRINKTYPE three ) small (NUMBER ice ) (DRINKTYPE teas ) ) )
62,(ORDER (PIZZAORDER put in (NUMBER the ) (STYLE order ) for a (TOPPING med ) pie along with (TOPPING green ) cheeseburger cheeseburger but hold tuna ) )
63,(ORDER i have (PIZZAORDER (NUMBER a ) pizza and (TOPPING i ) (TOPPING have ) the (QUANTITY large ) size (TOPPING but ) i'd like red (TOPPING onion ) on there as (TOPPING well ) as peas and pepperoni thanks a lot ) )
64,(ORDER i love (PIZZAORDER (NUMBER to ) hae a (NUMBER pizza ) with ricotta (TOPPING cheese ) peas but do (TOPPING not ) add onions ) )
65,(ORDER can i try (PIZZAORDER (NUMBER a ) (TOPPING smoked ) salmon (TOPPING and ) sausage pie (TOPPING with ) pepperoni ) )
66,(ORDER (PIZZAORDER (NUMBER looking ) for 7 (DRINKTYPE bottle ) spries (NUMBER and ) (SIZE a ) (SIZE extralarge ) grilled chickn and bacon pizza ) )
67,(ORDER i'd like (PIZZAORDER 1 (NUMBER small ) (NUMBER pie ) with balsamic gaze (TOPPING pesto ) but with no pepperoni (NOT (TOPPING please ) ) ) )
68,(ORDER (PIZZAORDER good afternoon i'm in the mood for a roasted (NUMBER tomatoes ) and pesto pizza (TOPPING but ) i do (TOPPING not ) want (NUMBER it ) (SIZE on ) big meat ) )
69,(ORDER (PIZZAORDER (STYLE good ) evening how are you (TOPPING please ) put up a (QUANTITY extra ) (TOPPING lage ) hot pepers and pineapple pizza with no ham ) )
70,(ORDER (PIZZAORDER (NUMBER for ) toay please (NOT (TOPPING make ) me a (NUMBER medium-size ) (SIZE pizza ) with garlic and pesto (TOPPING but ) no chorizo ) ) )
71,(ORDER i'm (PIZZAORDER leaning (NUMBER toward ) 1 small (NUMBER pizza ) (SIZE please ) make sure (TOPPING there ) to make that with (TOPPING cheese ) on it (TOPPING as ) well as red onion and please i don't want ground beef ) )
72,(ORDER i wish (PIZZAORDER to (NUMBER have ) (NUMBER a ) (STYLE mdium-sized ) pizza (NUMBER with ) green bell peppers (TOPPING buffalo ) sauce and extra prmesan ) )
73,(ORDER (PIZZAORDER (NUMBER 1 ) (SIZE lunch ) pizza with (TOPPING tofu ) and (TOPPING lettuce ) ) )
74,(ORDER i like (PIZZAORDER (NUMBER a ) (SIZE personal ) pizza with (TOPPING green ) pepper (TOPPING gruyere ) cheese but do (TOPPING not ) add any (NOT (STYLE peppers ) please ) ) )
75,(ORDER i'm (PIZZAORDER going (NUMBER to ) (STYLE go ) with 6 pizzas along with leeks and carrots but hold peppers ) )
76,"(ORDER (PIZZAORDER (NUMBER this ) time, i'll (NOT (TOPPING take ) a small pie (NUMBER along ) (SIZE banana ) peppr and (NOT (TOPPING some ) a tiny bit (QUANTITY of ) cheese but hold (TOPPING olives ) ) ) )"
77,(ORDER i feel (PIZZAORDER ike ordering a (TOPPING pizza ) in (NUMBER extra ) (SIZE large ) size along with (TOPPING jalepenos ) tomato sauce but without (NOT (TOPPING gree ) olives ) ) )
78,(ORDER (PIZZAORDER (NUMBER 5 ) lnch pizzas (TOPPING with ) buffalo sauce and artichokes ) )
79,(ORDER (PIZZAORDER (NUMBER 11 ) (SIZE medium-szed ) pizzas with buffalo sauce (TOPPING and ) pesto sauce ) )
80,(ORDER i need (PIZZAORDER to order 9 (TOPPING carrots ) and (TOPPING black ) olive pizza with no (NOT (TOPPING pesto ) ) ) )
81,(ORDER (PIZZAORDER could you please (TOPPING arrange ) for (NUMBER a ) (SIZE medium ) pizza with (TOPPING bbq ) sauce and (TOPPING veganpepperoni ) ) )
82,(ORDER (PIZZAORDER let's see i (NOT (TOPPING want ) a (NUMBER ten ) (NUMBER pizzas ) with peas and ten (NUMBER Sparkling ) (DRINKTYPE lemonade and ) one coke ) ) )
83,(ORDER (PIZZAORDER (NUMBER good ) evening for (NOT (TOPPING tonight ) i'd lie to try four (NUMBER med ) pizzas with (TOPPING hams ) and (TOPPING roasted ) red onion and also include six almnd milk and two sprites ) ) )
84,(ORDER could you (PIZZAORDER put in (NUMBER five ) (SIZE large ) pizzas with (TOPPING light ) jalepenos and (NUMBER five ) cans of (TOPPING Latts ) ) )
85,(ORDER tonight i want (PIZZAORDER (NUMBER fifeen ) pizzas with (TOPPING spicy ) red sauce leeks but hold any bacon ) )
86,(ORDER place (PIZZAORDER an orer for pizza which is bacon tuna (NUMBER and ) add some litle cheese ) )
87,(ORDER (PIZZAORDER (NUMBER put ) in he (TOPPING order ) for (NUMBER 13 ) bell pine apple pizzas (NUMBER along ) with all (TOPPING the ) meats pine apple ) )
88,(ORDER i like (PIZZAORDER to (NUMBER have ) (NUMBER a ) (SIZE extra ) large pizza with (TOPPING everything ) plus light cheese (NUMBER and ) (DRINKTYPE light bacon ) and (NUMBER four ) (SIZE extra ) large Lates with (NUMBER sugar ) (SIZE and ) (SIZE two ) extra (DRINKTYPE large ) Lates with ) )
89,(ORDER (PIZZAORDER for today i (NUMBER just ) (TOPPING want ) a (TOPPING garlic ) and (TOPPING tomatoe ) sauce pie with mushrooms ) )
90,(ORDER i'll make (PIZZAORDER (NUMBER my ) choice as a pineapples (TOPPING and ) beef (STYLE pie ) with additional onion ) )
91,(ORDER (PIZZAORDER (NUMBER good ) evening for tnight i'd like to try (NUMBER pie ) along with (TOPPING double ) sweet (TOPPING potatoes ) and some onions pepperoni please ) )
92,(ORDER i wish (PIZZAORDER to have (NUMBER 14 ) (NUMBER medium-sized ) pizzas with brocoli and (TOPPING onions ) and (TOPPING add ) 14 (NUMBER cans ) of Appe juice with it ) )
93,(ORDER please give me (PIZZAORDER 11 mexian olives and (TOPPING arichokes ) pizzas ) )
94,(ORDER (PIZZAORDER could you (TOPPING give ) me (NUMBER a ) (SIZE lunch ) pie with (TOPPING peppers ) smoked salmon (TOPPING and ) tuna ) )
95,(ORDER i would (PIZZAORDER (NUMBER like ) to place (TOPPING an ) order (NUMBER for ) a pizza (TOPPING with ) smoked (TOPPING salmon ) (TOPPING and ) tuna (NUMBER but ) please other than deep dish ) )
96,(ORDER (PIZZAORDER can yo get me (NUMBER 13 ) (SIZE personal ) hawiian pizzas (TOPPING with ) onion (TOPPING and ) sausage ) )
97,(ORDER (PIZZAORDER i'll try 9 (NUMBER d ) (DRINKTYPE peppers six ) extra large (NUMBER fantas ) (SIZE and ) (DRINKTYPE six ) extra (NUMBER large ) (SIZE cokes ) ) )
98,(ORDER (PIZZAORDER how about fiing (NOT (TOPPING me ) up with (NUMBER 2 ) pizzas with (TOPPING olives ) canadian bacon and cuumber ) ) )
99,(ORDER (PIZZAORDER i've decided (NUMBER to ) (STYLE order ) 1 Milkshakes (NUMBER six ) (DRINKTYPE extra ) large (NUMBER diet ) (SIZE cokes ) and (DRINKTYPE a medium ) fanta ) )
100,(ORDER lt me secure (PIZZAORDER (NUMBER one ) (STYLE med ) pie along (TOPPING with ) smoked salmon (TOPPING and ) veggie green olives ) )
101,(ORDER (PIZZAORDER cani order (NUMBER a ) pie which (TOPPING is ) lrge size (NUMBER along ) (SIZE with ) feta and (TOPPING additional ) cheese without (NOT (TOPPING onions ) ) ) )
102,(ORDER (PIZZAORDER start an (TOPPING oder ) for (NUMBER a ) (SIZE small ) pie with (TOPPING grilled ) chicken and (TOPPING roasted ) garlic but please (TOPPING leave ) off green bell peppers ) )
103,(ORDER i need (PIZZAORDER (NUMBER an ) (TOPPING order ) f (NUMBER a ) xl (DRINKTYPE bell peppers ) pizza (NUMBER with ) (SIZE a ) medium (DRINKTYPE Club soda ) ) )
104,(ORDER i'll (PIZZAORDER go (NUMBER head ) and order (TOPPING a ) large (QUANTITY cumin ) and chicken pie without olives please ) )
105,(ORDER (PIZZAORDER could you put n (NUMBER two ) (SIZE large ) pizzas with (TOPPING pickled ) onons and (TOPPING olives ) and then add a small (TOPPING pizza ) with a drizzle cheese ) )
106,(ORDER i'd love (PIZZAORDER (NUMBER to ) try out (TOPPING one ) personal (NUMBER pizza ) with sun-dried tomatoes (TOPPING and ) peas and bbq (NUMBER sauce ) please ) )
107,(ORDER i wish to (PIZZAORDER have six (TOPPING chard ) and (TOPPING broccli ) pizza with (QUANTITY alot ) of (TOPPING cheese ) ) )
108,(ORDER hook me up (PIZZAORDER with (NUMBER a ) xl pizza (TOPPING with ) pepperonis and beef but no sweet corn ) )
109,(ORDER i lie (PIZZAORDER (NUMBER to ) a pie with (TOPPING pepperoni ) and (TOPPING please ) give stuff (STYLE crust ) and add some extra cheese ) )
110,(ORDER (PIZZAORDER can you get me (NUMBER 5 ) (SIZE large ) pies with (TOPPING bacon ) chicken but i need to avoid ham ) )
111,(ORDER allow me to (PIZZAORDER oder (NUMBER a ) olives pizza with (TOPPING green ) pepper and no (NOT (TOPPING pesto ) ) ) )
112,(ORDER let me (PIZZAORDER try (NUMBER a ) (SIZE lrge-size ) pizza with meatball and fontina (TOPPING heese ) but i'm (TOPPING not ) in the mood for sausage ) )
113,(ORDER get me (PIZZAORDER (NUMBER a ) pizza and (TOPPING please ) put some pickled onions (TOPPING on ) there (STYLE with ) ham and tuna okay ) )
114,(ORDER please i want (PIZZAORDER (TOPPING eigt ) xl pizzas (TOPPING and ) please do them both (TOPPING with ) (TOPPING sriracha ) sauce and mushrooms and make sure there's no olives ) )
115,(ORDER i will (PIZZAORDER (NUMBER get ) 1 pizza in xl (QUANTITY size ) along with (TOPPING red ) onions and (TOPPING yellow ) peppers but without ham ) )
116,(ORDER (PIZZAORDER (NUMBER sven ) (SIZE large-size ) pizzas with tuna beef (TOPPING and ) garlic powder ) )
117,(ORDER (PIZZAORDER do me (NUMBER a ) favor and (TOPPING please ) put up a (TOPPING med ) buffalo sauce pizza with red cabage and (NUMBER two ) (DRINKTYPE med drpepper ) please ) )
118,(ORDER (PIZZAORDER (STYLE let's ) finalize with (NUMBER a ) buffalo sauce (QUANTITY and ) (TOPPING lamb ) pie with no chicken ) )
119,(ORDER good evening want (PIZZAORDER (NUMBER 1 ) (SIZE medium-sized ) garlic and mushroom pizza (TOPPING with ) no a (QUANTITY little ) bit cheese please ) )
120,(ORDER (PIZZAORDER (NUMBER for ) today i just (NUMBER want ) (SIZE a ) lunch mexican pizza a (SIZE lunch ) gorgonzola pizza and a (NUMBER lunch ) (SIZE veggie ) pizza ) )
121,(ORDER (PIZZAORDER please hep (NUMBER me ) (TOPPING order ) a (NUMBER medium ) (SIZE pizza ) with jalepeno (TOPPING peppers ) and gruyere (TOPPING cheese ) and i do (NUMBER not ) want all the veggies ) )
122,(ORDER (PIZZAORDER (NUMBER hi ) tonight iwant a (NUMBER spinach ) pizza with double pickles and no pesto ) )
123,(ORDER please order (PIZZAORDER (NUMBER a ) (STYLE mdium ) pizza with peppers (TOPPING sauteed ) (TOPPING spinach ) and (TOPPING a ) tiny bit (QUANTITY of ) cheese ) )
124,(ORDER i need (PIZZAORDER to (NUMBER place ) (SIZE an ) order (NUMBER for ) (NUMBER a ) (SIZE large-size ) pizza with chicken and (TOPPING extra ) cheese but (NOT (TOPPING without ) any tuna (NOT (TOPPING please ) ) ) )
125,(ORDER i would (PIZZAORDER (NUMBER like ) (TOPPING to ) have (NUMBER thirteen ) (SIZE small ) (TOPPING tomtoes ) and (TOPPING bacon ) pies with (QUANTITY no ) a little (TOPPING bit ) cheese please ) )
126,(ORDER (PIZZAORDER begin an ordr for me (TOPPING that ) includes a (NUMBER medium-sized ) (SIZE pizza ) with bel peppers and (TOPPING peppers ) and no pineapple please ) )
127,(ORDER fetch me (PIZZAORDER (NUMBER a ) (TOPPING pineapple ) bbq chicken pizza with no peppers ) )
128,(ORDER could you (PIZZAORDER put (NOT (TOPPING in ) ten tomto and pesto pizzas with no (NOT (TOPPING pepperoni ) ) ) )
129,(ORDER i'd appreciate (PIZZAORDER (NUMBER a ) pizza in (TOPPING med ) (TOPPING size ) along (QUANTITY with ) red onion (TOPPING and ) garlic but without extra (QUANTITY cheese ) ) )
130,(ORDER (PIZZAORDER okay let me (NOT (TOPPING think ) okay i'll take 2 (NUMBER cheddarcheese ) pizzas with (TOPPING pepperoni ) and (TOPPING ham ) ) ) )
131,(ORDER can we go (PIZZAORDER (NUMBER for ) (SIZE lunch ) size including (TOPPING green ) olives and (TOPPING canadian ) bacon but no (NOT (TOPPING tomatoes ) ) ) )
132,(ORDER let me (PIZZAORDER (NUMBER pick ) (TOPPING a ) pesonal hams and (TOPPING hambrger ) pizza with no bacon ) )
133,(ORDER (PIZZAORDER (NUMBER my ) order for toda is for (NUMBER a ) pizza with (QUANTITY extra ) (TOPPING olives ) and peppers and (NOT (TOPPING no ) pesto please ) ) )
134,(ORDER (PIZZAORDER cn you handle this order (NUMBER a ) (SIZE medium-size ) italian truffle oil truffle (NOT (TOPPING oil ) pizza with some (TOPPING little ) cheese please ) ) )
135,(ORDER (PIZZAORDER hello my order is for (NUMBER a ) pizza and (TOPPING i ) want cherry tomatoes (NUMBER and ) bacon and (NOT (TOPPING i ) guess ham also thanks so much ) ) )
136,(ORDER (PIZZAORDER (SIZE just ) one (TOPPING pan ) sun-dried tomatoes pamesan med (TOPPING pie ) ) )
137,(ORDER i wll (PIZZAORDER get a (NUMBER medium-size ) (SIZE jalepeno ) peppers and (TOPPING parmesan ) pie with no smoked salmon ) )
138,(ORDER (PIZZAORDER (NUMBER rpeat ) my 15 extra (NUMBER large ) (SIZE pizzas ) with mushy peas (TOPPING and ) blue cheese one extra (NUMBER large ) (SIZE pizza ) (SIZE with ) blue cheese and mushrooms and one large pizza with blue cheese and ) )
139,(ORDER (PIZZAORDER i'd like to (NUMBER put ) (VOLUME in ) an order for a (NUMBER xl ) (DRINKTYPE anchovis onion ) and pineapple pizza ) )
140,(ORDER setme up (PIZZAORDER with a (NUMBER medium-sized ) (SIZE pizza ) with alfredo chicken and (TOPPING yellow ) peppers to (TOPPING go ) with two (NUMBER bottle ) of sprite ) )
141,(ORDER i want (PIZZAORDER to (NUMBER have ) (STYLE a ) xl (TOPPING ground ) beef pie with (QUANTITY a ) (TOPPING bunchof ) cheese and pesto ) )
142,(ORDER please may i (PIZZAORDER have (NUMBER 1 ) pizza might (TOPPING as ) well make (QUANTITY it ) (TOPPING medium ) on it i'd like low fat cheese make it thin crust and no bbq sauce today that's ) )
143,(ORDER i like (PIZZAORDER (NUMBER a ) xl (TOPPING bbq ) sauce and (TOPPING anchovies ) pizza with light (TOPPING on ) the cheese please ) )
144,(ORDER id like (PIZZAORDER (NUMBER 1 ) pie with (TOPPING artichokes ) (TOPPING heavy ) on chicken and without bacon ) )
145,(ORDER let me (PIZZAORDER pick (NUMBER 13 ) (TOPPING med ) mrgarita pizza (NUMBER with ) a gluten-free (TOPPING crust ) and prawns ) )
146,(ORDER (PIZZAORDER (NUMBER okay ) good afternoon (NOT (TOPPING i'd ) like a large-size (NUMBER pizza ) (SIZE with ) extra geen peppers tuna (QUANTITY and ) (TOPPING mushrooms ) please ) ) )
147,(ORDER (PIZZAORDER can you order me (NUMBER a ) xl pizza with (TOPPING tuna ) and (TOPPING bacon ) pepperoni ) )
148,(ORDER (PIZZAORDER (STYLE hi ) how are you okay toda i'd like to order a prawns and sauteed spinach pizza but i do not want it on chicago stle ) )
149,(ORDER i think (PIZZAORDER ill (NUMBER grab ) 1 pizza with (TOPPING mexican ) and (TOPPING hamburger ) but do not (TOPPING add ) any olive on that ) )
150,(ORDER (PIZZAORDER i'll go (NUMBER for ) a total (QUANTITY of ) a med pesto (TOPPING and ) ham pizza without tuna ) )
151,(ORDER (PIZZAORDER put an order (NOT (TOPPING in ) for 6 (NUMBER extra ) (SIZE large ) roasted tomatoes pizzas (QUANTITY and ) one large (TOPPING stuffed ) crust pizza ) ) )
152,(ORDER i would (PIZZAORDER (NUMBER like ) to place (NOT (TOPPING an ) order for (NUMBER a ) (SIZE personal ) pica with (TOPPING saami ) (TOPPING no ) sausage and (TOPPING all ) the veggies ) ) )
153,(ORDER (PIZZAORDER (NUMBER good ) evening i (NOT (TOPPING ant ) to order (NUMBER a ) (SIZE lunch ) pizza with (TOPPING italian ) sausage chard (TOPPING and ) mushroom on it ) ) )
154,(ORDER i'd try (PIZZAORDER 2 (NUMBER large ) (SIZE pizzas ) with bigmeat and (TOPPING 2 ) large pizzas (NUMBER with ) (SIZE smoked ) salmon and extra cheese and six large iceteas ) )
155,(ORDER (PIZZAORDER hi good afternoon for oday i'd like 12 medium-ize (NUMBER sweet ) (SIZE potatoes ) and goat cheese (TOPPING pizzas ) please ) )
156,(ORDER could you (PIZZAORDER put in (NUMBER a ) smll pizza with tomatoe (TOPPING sauce ) spicy red sauce and spinach ) )
157,(ORDER i like (PIZZAORDER to have (NUMBER one ) (SIZE large ) pizza with (TOPPING tomato ) and (TOPPING chorizo ) and (TOPPING onions ) please ) )
158,(ORDER (PIZZAORDER (SIZE small ) pizza with (TOPPING ricotta ) cheese sauteed spinach and no (NOT (TOPPING green ) pepper ) ) )
159,(ORDER (PIZZAORDER (NUMBER one ) persoal mexican pizza without roasted red (NOT (TOPPING onion ) and two medium (NUMBER extra ) (SIZE grilled ) chicen pizzas ) ) )
