order,output
15,(ORDER (PIZZAORDER could you give me (NUMBER four ) (SIZE lunch ) pies along with capers added with ham (TOPPING and ) olives ) )
16,(ORDER i like (PIZZAORDER (NUMBER a ) (SIZE medium-sized ) pine apple (TOPPING and ) (TOPPING chicken ) pie (TOPPING with ) no a little bit cheese ) )
17,(ORDER (PIZZAORDER i'd like to put a order in for a medium (NUMBER pizza ) (SIZE with ) cheddar cheese (TOPPING and ) (TOPPING olive ) and (TOPPING no ) canadian bacon please ) )
18,(ORDER (PIZZAORDER could you get me (NUMBER a ) al pizza with (TOPPING sausage ) and (TOPPING pickles ) but without (NOT (TOPPING roasted ) eggplant ) ) )
19,(ORDER i'llhave (PIZZAORDER a capers and bacon (NUMBER pizza ) small please and (TOPPING i ) want peppers on it too ) )
20,(ORDER lets get (PIZZAORDER (NUMBER two ) (SIZE large ) 7 ups (NUMBER one ) (SIZE medium ) sprite and an (SIZE a ) (STYLE lot ) of (SIZE large ) (STYLE vein ) pizza with (STYLE a ) (STYLE lot ) (STYLE of ) pineapple and (NUMBER a ) (SIZE lot ) of mushrooms ) )
21,(ORDER i'd have a large (PIZZAORDER (NUMBER capers ) (SIZE sweet ) corn tuna pie ) )
22,(ORDER could (PIZZAORDER you get me (NUMBER a ) late pie along with (TOPPING yellow ) (TOPPING peppers ) lamb but please avoid (NOT (QUANTITY extra ) (NOT (TOPPING hams ) ) ) )
23,(ORDER i wish (PIZZAORDER to have (NUMBER 1 ) pizza let's do parmesan (TOPPING and ) leeks toppings and please (TOPPING zero ) olives ) )
24,(ORDER (PIZZAORDER (NUMBER four ) (SIZE personal ) pizzas with (TOPPING tomato ) and (TOPPING pickles ) ) )
25,(ORDER (PIZZAORDER for day please make me (NUMBER a ) (SIZE personal ) (TOPPING pickled ) onions (TOPPING sausage ) (TOPPING pizza ) with a (QUANTITY little ) (STYLE bit ) (QUANTITY cheese ) ) )
26,(ORDER (PIZZAORDER (NUMBER twelve ) al pizzas with (TOPPING red ) (TOPPING onions ) garlic and (TOPPING ham ) ) )
27,(ORDER i need (PIZZAORDER to lace an order for (SIZE a ) (SIZE medium-size ) pizza with alfredo chicken (TOPPING carrots ) and (TOPPING pineapple ) please ) )
28,(ORDER (PIZZAORDER (NUMBER a ) (SIZE personal ) pizza with (TOPPING pineapple ) lamb (TOPPING onions ) (TOPPING pine ) (TOPPING apple ) bacon sausage and a lot of (TOPPING cheese ) ) )
29,(ORDER i'd (PIZZAORDER prefer to go with a large-size (SIZE pizza ) (SIZE with ) everything meatball but without (TOPPING mushrooms ) ) )
30,(ORDER (PIZZAORDER could you get me (NUMBER a ) (SIZE personal ) pizza with mushy peas and (TOPPING mint ) and (TOPPING please ) hold the pepperoni that's (TOPPING all ) ) )
31,(ORDER (PIZZAORDER start an order for (NUMBER a ) (SIZE lunch ) pizza with capers (TOPPING and ) a (QUANTITY combination ) (TOPPING but ) no garlic ) )
32,(ORDER good afternoon i'm (PIZZAORDER in the mood for a medium-ize (NUMBER with ) (SIZE black ) beans and pineapple no (TOPPING sausage ) ) )
33,(ORDER (PIZZAORDER please arrange to get (NUMBER a ) zucchini and mint pizza with bacon (TOPPING on ) it ) )
34,(ORDER (PIZZAORDER let's see i want a a (NUMBER pizza ) (SIZE and ) make it everything style also (TOPPING i ) (TOPPING want ) double hummus but no gorgonzola that's all ) )
35,(ORDER (PIZZAORDER good evening how are you please put up (NUMBER two ) (SIZE medium-sized ) pizzas with black olives (TOPPING and ) (TOPPING bacon ) but (TOPPING hold ) the a little cheese please ) )
36,(ORDER i'm having (PIZZAORDER a bunch (NUMBER of ) people over tonight so i need a large (NUMBER pie ) (SIZE for ) the toppings i'd (TOPPING like ) wanna peppers and onions but please make sure there is ) )
37,(ORDER (PIZZAORDER (NUMBER 3 ) broccoli and (NUMBER zucchini ) (DRINKTYPE pizzas ) ) )
38,(ORDER i'd be (PIZZAORDER happy with a medium-size (SIZE pizza ) (SIZE with ) jalapeños and cheese but (TOPPING no ) lamb ) )
39,(ORDER i would (PIZZAORDER like your (NUMBER a ) (SIZE large-size ) with lion zest onions and pineapples ) )
40,(ORDER please put (PIZZAORDER up (NUMBER seen ) (SIZE small ) pizzas with (TOPPING zucchini ) and onions and add seen bottles of sprite with it ) )
41,(ORDER i need (PIZZAORDER an order placed for (NUMBER a ) al pie with (TOPPING pepper ) hamburger (TOPPING pineapple ) ) )
42,(ORDER (PIZZAORDER for tonight i just want (NUMBER fourteen ) pies with (TOPPING bell ) (TOPPING peppers ) and (TOPPING lees ) but don't add pepperoni ) )
43,(ORDER (PIZZAORDER (NUMBER 14 ) me a (STYLE little ) (QUANTITY bit ) (STYLE green ) pepper a (STYLE little ) (QUANTITY bit ) (TOPPING cheeseburger ) pizzas please ) )
44,(ORDER (PIZZAORDER (NUMBER two ) (SIZE personal ) pizzas with (TOPPING pine ) (TOPPING apple ) and (TOPPING low ) fat cheese ) )
45,(ORDER tonight i'm (PIZZAORDER in the mood or 7 extra (NUMBER large ) (SIZE pizzas ) with feta cheese (TOPPING mushrooms ) and (TOPPING black ) olives (TOPPING and ) six large (NUMBER pizzas ) (SIZE with ) pepperoni sausage and mushrooms ) )
46,(ORDER i love (PIZZAORDER to have (NUMBER a ) (SIZE medium-sized ) vegetarian (STYLE pizza ) (STYLE with ) tomatoes and (TOPPING fresh ) red cabbage ) )
47,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium-sized ) pizza with basil and (TOPPING capers ) ) )
48,(ORDER i want (PIZZAORDER to finalize with a (SIZE extra ) (SIZE large ) (STYLE all ) (STYLE the ) veggies pizza and a (NUMBER two ) (VOLUME liter mountain ) (DRINKTYPE dew ) ) )
49,(ORDER id like (PIZZAORDER to secure late pizza along with (TOPPING red ) (TOPPING onion ) and (TOPPING kimchi ) but hold onions ) )
50,(ORDER i think (PIZZAORDER ill stick with (SIZE seven ) (SIZE lunch ) sized pizzas with (TOPPING bacon ) and (TOPPING ham ) on them ) )
51,(ORDER i (PIZZAORDER would love to get (NUMBER one ) al pie along with (TOPPING mint ) and (TOPPING big ) (TOPPING meat ) but hold (NOT (TOPPING pepperoni ) ) ) )
52,(ORDER (PIZZAORDER please help me order (NUMBER three ) (SIZE small ) pizzas i want bacon on all of (TOPPING them ) as well as ham thanks ) )
53,(ORDER (PIZZAORDER for today i just want (NUMBER a ) pizza with (TOPPING ricotta ) (TOPPING cheese ) (TOPPING ham ) and (TOPPING tuna ) ) )
54,(ORDER i'd be (PIZZAORDER interested in a medium (NUMBER ham ) (SIZE and ) (TOPPING bacon ) pie (TOPPING with ) extra cheese ) )
55,(ORDER i just need (PIZZAORDER (NUMBER a ) cucumber (TOPPING and ) pesto pizza (TOPPING without ) all the (NOT (STYLE veggies ) ) ) )
56,(ORDER we need (PIZZAORDER (NUMBER a ) pizza and make sure there's heavy on tomato sauce on (TOPPING it ) and red onion (TOPPING sauce ) (TOPPING on ) there also (TOPPING but ) definitely no red (NOT (TOPPING onion ) thanks a lot ) ) )
57,(ORDER let me (PIZZAORDER secure (NUMBER a ) me pizza with (TOPPING sauce ) (TOPPING ground ) beef (TOPPING onions ) and (TOPPING mushrooms ) with (NUMBER a ) (CONTAINERTYPE me ) (DRINKTYPE demonic tea ) ) )
58,(ORDER (PIZZAORDER (NUMBER 11 ) (SIZE large-size ) pizzas with banana pepper (TOPPING and ) parmesan ) )
59,(ORDER i would like (PIZZAORDER (NUMBER fifteen ) pizzas topped with (TOPPING mushroom ) and (NUMBER four ) (DRINKTYPE diet sprites ) which are al along with three pepsi ) )
60,(ORDER let me have (PIZZAORDER (NUMBER a ) (SIZE personal ) pizza with (TOPPING artichokes ) and (TOPPING balsamic ) glaze do (TOPPING not ) (TOPPING include ) sauce ) )
61,(ORDER please (PIZZAORDER make me (NUMBER 14 ) (SIZE small ) (TOPPING cherry ) pep (NUMBER one ) (SIZE medium ) (DRINKTYPE coke ) (NUMBER two ) (SIZE small ) (DRINKTYPE sprites ) and (NUMBER three ) (SIZE small ) (DRINKTYPE ice teas ) ) )
62,(ORDER (PIZZAORDER put in the order for (NUMBER a ) me pie along with (TOPPING green ) cheeseburger cheeseburger but hold tuna ) )
63,(ORDER i have (PIZZAORDER (NUMBER a ) pizza and i have the (SIZE large ) size but i'd like red onion on there as well as peas (TOPPING and ) pepperoni thanks a lot ) )
64,(ORDER i love (PIZZAORDER to hae a (NUMBER pizza ) with ricotta (TOPPING cheese ) (TOPPING peas ) (TOPPING but ) do not add (TOPPING onions ) ) )
65,(ORDER can i try (PIZZAORDER (NUMBER a ) smoked salmon and (TOPPING sausage ) pie with (TOPPING pepperoni ) ) )
66,(ORDER looking for (PIZZAORDER 7 bottle series and (NUMBER a ) (SIZE extralarge ) grilled chicken (TOPPING and ) (TOPPING bacon ) pizza ) )
67,(ORDER i'd like (PIZZAORDER 1 small (NUMBER pie ) (SIZE with ) balsamic gaze (TOPPING pesto ) (TOPPING but ) with no pepperoni please ) )
68,(ORDER (PIZZAORDER good afternoon i'm in the mood for a roasted tomatoes and (TOPPING pesto ) pizza (TOPPING but ) i do not want it on big meat ) )
69,(ORDER (PIZZAORDER good evening how are you please put up (NUMBER a ) (SIZE extra ) late (TOPPING hot ) (TOPPING papers ) and (TOPPING pineapple ) pizza with no (NOT (TOPPING ham ) ) ) )
70,(ORDER (PIZZAORDER for today please make me (NUMBER a ) (SIZE medium-size ) pizza with garlic and (TOPPING pesto ) but (TOPPING no ) chorizo ) )
71,(ORDER i'm (PIZZAORDER leaning toward 1 small (NUMBER pizza ) (SIZE please ) make sure there to make that with cheese on (TOPPING it ) as well as red onion (TOPPING and ) please i don't want ground beef ) )
72,(ORDER i wish (PIZZAORDER to have (NUMBER a ) (SIZE mdium-sized ) pizza with green bell peppers (TOPPING buffalo ) (TOPPING sauce ) (TOPPING and ) (TOPPING extra ) parmesan ) )
73,(ORDER (PIZZAORDER (NUMBER 1 ) (SIZE lunch ) pizza with (TOPPING tofu ) and (TOPPING lettuce ) ) )
74,(ORDER i like (PIZZAORDER (NUMBER a ) (SIZE personal ) pizza with (TOPPING green ) pepper (TOPPING gruyeres ) cheese (TOPPING but ) (TOPPING do ) not add any peppers please ) )
75,(ORDER i'm (PIZZAORDER going to go with 6 pizzas (NUMBER along ) with leeks and (TOPPING carrots ) but hold peppers ) )
76,(ORDER (PIZZAORDER this time i'll take a small (NUMBER pie ) (SIZE along ) banana pepper (TOPPING and ) some a tiny (QUANTITY bit ) (STYLE of ) cheese (QUANTITY but ) (TOPPING hold ) olives ) )
77,(ORDER i feel (PIZZAORDER ike ordering (NUMBER a ) pizza in (SIZE extra ) large size along with (TOPPING jalapeños ) (TOPPING tomato ) (TOPPING sauce ) but without gree olives ) )
78,(ORDER (PIZZAORDER (NUMBER 5 ) (SIZE lunch ) pizzas with (TOPPING buffalo ) sauce and (TOPPING artichokes ) ) )
79,(ORDER (PIZZAORDER (NUMBER 11 ) (SIZE medium-szed ) pizzas with buffalo sauce (TOPPING and ) (TOPPING pesto ) (TOPPING sauce ) ) )
80,(ORDER i need (PIZZAORDER to order (NUMBER 9 ) (TOPPING carrots ) and (TOPPING black ) (TOPPING olive ) pizza with no (NOT (TOPPING pesto ) ) ) )
81,(ORDER (PIZZAORDER could you please arrange for (NUMBER a ) (SIZE medium ) pizza with be (TOPPING sauce ) and (TOPPING veganpepperoni ) ) )
82,(ORDER (PIZZAORDER let's see i want a ten (NUMBER pizzas ) with peas and ten Sparkling (NUMBER lemonade ) and one coke ) )
83,(ORDER (PIZZAORDER good evening for tonight i'd lie to try four me (NUMBER pizzas ) with hams and (TOPPING roasted ) red onion and also include six almond milk and two sprites ) )
84,(ORDER could you (PIZZAORDER put in (NUMBER five ) (SIZE large ) pizzas with (TOPPING light ) jalapeños and (NUMBER five ) cans of lasts ) )
85,(ORDER tonight i want (PIZZAORDER (NUMBER fifteen ) pizzas with (TOPPING spicy ) (TOPPING red ) (TOPPING sauce ) leeks but hold any bacon ) )
86,(ORDER place an (PIZZAORDER over for pizza which is (TOPPING bacon ) (TOPPING tuna ) and add some (QUANTITY little ) (TOPPING cheese ) ) )
87,(ORDER (PIZZAORDER put in he order for (NUMBER 13 ) bell pine (TOPPING apple ) pizzas along with all the (TOPPING meats ) (TOPPING pine ) apple ) )
88,(ORDER i like (PIZZAORDER to have (NUMBER a ) (SIZE extra ) large pizza with (TOPPING everything ) (TOPPING plus ) (TOPPING light ) cheese and light bacon (SIZE and ) (SIZE four ) extra large late with (NUMBER sugar ) (SIZE and ) (SIZE two ) extra large late with ) )
89,(ORDER (PIZZAORDER for today i just want (NUMBER a ) (TOPPING garlic ) and (TOPPING tomato ) (TOPPING sauce ) pie with (TOPPING mushrooms ) ) )
90,(ORDER i'll make (PIZZAORDER my choice as a pineapples (NUMBER and ) (TOPPING beef ) pie (TOPPING with ) additional onion ) )
91,(ORDER (PIZZAORDER good evening for night i'd like to try pie along with double sweet potatoes (TOPPING and ) some onions (TOPPING pepperoni ) (TOPPING please ) ) )
92,(ORDER i wish (PIZZAORDER to have (NUMBER 14 ) (SIZE medium-sized ) pizzas with broccoli and (TOPPING onions ) and (TOPPING add ) 14 cans of apple juice with it ) )
93,(ORDER please give me (PIZZAORDER 11 (TOPPING mexican ) (TOPPING olives ) and (TOPPING artichokes ) pizzas ) )
94,(ORDER (PIZZAORDER could you give me (NUMBER a ) (SIZE lunch ) pie with (TOPPING peppers ) (TOPPING smoked ) salmon and (TOPPING tuna ) ) )
95,(ORDER i would (PIZZAORDER like to place an order for (NUMBER a ) pizza with (TOPPING smoked ) salmon and (TOPPING tuna ) but please other than deep dish ) )
96,(ORDER (PIZZAORDER can yo get me (NUMBER 13 ) (SIZE personal ) (STYLE hawaiian ) pizzas with (TOPPING onion ) and (TOPPING sausage ) ) )
97,(ORDER (PIZZAORDER i'll try 9 d (NUMBER peppers ) (DRINKTYPE six ) extra large (SIZE fantasy ) (SIZE and ) six extra (NUMBER large ) (SIZE cokes ) ) )
98,(ORDER (PIZZAORDER how about firing me up with (NUMBER 2 ) pizzas with (TOPPING olives ) (TOPPING canadian ) bacon and cucumber ) )
99,(ORDER (PIZZAORDER i've decided to order 1 Milkshakes (NUMBER six ) (DRINKTYPE extra ) large diet (NUMBER cokes ) (SIZE and ) a (DRINKTYPE medium santa ) ) )
100,(ORDER lt me secure (PIZZAORDER (NUMBER one ) me pie along with (TOPPING smoked ) salmon and (TOPPING veggie ) green olives ) )
101,(ORDER can (PIZZAORDER order (NUMBER a ) pie which is (SIZE large ) size along with (TOPPING feta ) and additional (TOPPING cheese ) without (NOT (TOPPING onions ) ) ) )
102,(ORDER (PIZZAORDER start an oder for (NUMBER a ) (SIZE small ) pie with (TOPPING grilled ) (TOPPING chicken ) and (TOPPING roasted ) garlic but please leave off (TOPPING green ) bell peppers ) )
103,(ORDER i need (PIZZAORDER an order f (NUMBER a ) al bell (TOPPING peppers ) pizza with (NUMBER a ) (SIZE medium ) (DRINKTYPE Club soda ) ) )
104,(ORDER i'll (PIZZAORDER go head and order a large (NUMBER cumin ) (SIZE and ) (TOPPING chicken ) pie (TOPPING without ) olives please ) )
105,(ORDER (PIZZAORDER could you put n (NUMBER two ) (SIZE large ) pizzas with (TOPPING pickled ) (TOPPING onions ) and olives (TOPPING and ) then add a (SIZE small ) pizza with a drizzle cheese ) )
106,(ORDER i'd love (PIZZAORDER to try out one personal (NUMBER pizza ) (SIZE with ) sundries tomatoes and peas (TOPPING and ) be sauce please ) )
107,(ORDER i wish (PIZZAORDER to have (NUMBER six ) (TOPPING chard ) and (TOPPING broccoli ) pizza with lot of cheese ) )
108,(ORDER hook me up (PIZZAORDER with (NUMBER a ) al pizza with (TOPPING pepperonis ) and (TOPPING beef ) but no (NOT (TOPPING sweet ) corn ) ) )
109,(ORDER i lie (PIZZAORDER to (NUMBER a ) pie with (TOPPING pepperoni ) and please give stuff crust and add some extra (TOPPING cheese ) ) )
110,(ORDER (PIZZAORDER can you get me (NUMBER 5 ) (SIZE large ) pies with (TOPPING bacon ) (TOPPING chicken ) but i need to (NOT (TOPPING avoid ) (NOT (TOPPING ham ) ) ) )
111,(ORDER allow me to (PIZZAORDER oder (NUMBER a ) (TOPPING olives ) pizza with (TOPPING green ) (TOPPING pepper ) and no (NOT (TOPPING pesto ) ) ) )
112,(ORDER let me (PIZZAORDER try (NUMBER a ) (SIZE lrge-size ) pizza with meatball and footing (TOPPING cheese ) but i'm (TOPPING not ) in the mood for sausage ) )
113,(ORDER get me (PIZZAORDER (NUMBER a ) pizza and please put some (TOPPING pickled ) onions (TOPPING on ) there with ham (TOPPING and ) tuna (TOPPING okay ) ) )
114,(ORDER please i want (PIZZAORDER (NUMBER eight ) al pizzas and please do them both with sirach sauce and mushrooms and make sure there's no olives ) )
115,(ORDER i will (PIZZAORDER get 1 pizza in al (SIZE size ) along with (QUANTITY red ) (TOPPING onions ) and (TOPPING yellow ) (TOPPING peppers ) but without (NOT (TOPPING ham ) ) ) )
116,(ORDER (PIZZAORDER (NUMBER sven ) (SIZE large-size ) pizzas with tuna beef (TOPPING and ) (TOPPING garlic ) powder ) )
117,(ORDER (PIZZAORDER do me (NUMBER a ) favor and please put up a me (QUANTITY buffalo ) (TOPPING sauce ) pizza with (TOPPING red ) cabbage and (NUMBER two ) (DRINKTYPE me pepper ) please ) )
118,(ORDER (PIZZAORDER let's finalize with a buffalo sauce and (TOPPING lamb ) (TOPPING pie ) with (TOPPING no ) chicken ) )
119,(ORDER good evening want (PIZZAORDER (NUMBER 1 ) (SIZE medium-sized ) garlic and mushroom pizza (TOPPING with ) no a little bit cheese (QUANTITY please ) ) )
120,(ORDER (PIZZAORDER for today i just want (NUMBER a ) (SIZE lunch ) mexican pizza a (SIZE lunch ) gorgonzola pizza and a lunch (NUMBER veggie ) (SIZE pizza ) ) )
121,(ORDER (PIZZAORDER please hep me order a (NUMBER medium ) (SIZE pizza ) with jalapeño (TOPPING peppers ) (TOPPING and ) gruyeres cheese and i do not want all the veggies ) )
122,(ORDER hi tonight want (PIZZAORDER (NUMBER a ) (TOPPING spinach ) pizza with (TOPPING double ) (TOPPING pickles ) and no (NOT (TOPPING pesto ) ) ) )
123,(ORDER please order (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza with (TOPPING peppers ) sauted (TOPPING spinach ) and a tiny (STYLE bit ) (STYLE of ) cheese ) )
124,(ORDER i need (PIZZAORDER to place an order for (SIZE a ) (SIZE large-size ) pizza with chicken and (TOPPING extra ) cheese (QUANTITY but ) (TOPPING without ) any tuna please ) )
125,(ORDER i (PIZZAORDER would like to have (NUMBER thirteen ) (SIZE small ) (TOPPING tomatoes ) and (TOPPING bacon ) pies with no a little bit (TOPPING cheese ) please ) )
126,(ORDER (PIZZAORDER begin an order for me that includes (SIZE a ) (SIZE medium-sized ) pizza with bel peppers and (TOPPING peppers ) and (TOPPING no ) pineapple please ) )
127,(ORDER fetch me (PIZZAORDER (NUMBER a ) (TOPPING pineapple ) be (TOPPING chicken ) pizza with no (NOT (TOPPING peppers ) ) ) )
128,(ORDER could you (PIZZAORDER put in (NUMBER ten ) (TOPPING tomato ) and (TOPPING pesto ) pizzas with no (NOT (TOPPING pepperoni ) ) ) )
129,(ORDER i'd appreciate (PIZZAORDER a pizza (NUMBER in ) me size along (SIZE with ) red onion (TOPPING and ) (TOPPING garlic ) but (TOPPING without ) extra cheese ) )
130,(ORDER (PIZZAORDER okay let me think okay i'll take 2 cheddarcheese pizzas with pepperoni and ham ) )
131,(ORDER can we go (PIZZAORDER (NUMBER for ) (SIZE lunch ) size including (TOPPING green ) (TOPPING olives ) and (TOPPING canadian ) (TOPPING bacon ) but no (NOT (TOPPING tomatoes ) ) ) )
132,(ORDER (PIZZAORDER let me pick (NUMBER a ) (SIZE personal ) (TOPPING hams ) and (TOPPING hamburger ) pizza with no (NOT (TOPPING bacon ) ) ) )
133,(ORDER (PIZZAORDER my order for today is for (NUMBER a ) pizza with (QUANTITY extra ) (TOPPING olives ) and (TOPPING peppers ) and no (NOT (TOPPING pesto ) please ) ) )
134,(ORDER (PIZZAORDER in you handle this order (SIZE a ) (SIZE medium-size ) italian truffle (STYLE oil ) truffle oil pizza (TOPPING with ) (TOPPING some ) little (TOPPING cheese ) (TOPPING please ) ) )
135,(ORDER (PIZZAORDER hello my order is for (NUMBER a ) pizza and i want (TOPPING cherry ) tomatoes and (TOPPING bacon ) and i guess (NOT (TOPPING ham ) (NOT (TOPPING also ) thanks so much ) ) )
136,(ORDER (PIZZAORDER (SIZE just ) (QUANTITY one ) (TOPPING pan ) sundries tomatoes (TOPPING parmesan ) me pie ) )
137,(ORDER i all (PIZZAORDER get (NUMBER a ) (SIZE medium-size ) jalapeño peppers (TOPPING and ) (TOPPING parmesan ) pie with no smoked salmon ) )
138,(ORDER repeat my (PIZZAORDER (NUMBER 15 ) (SIZE extra ) large pizzas with mushy peas (TOPPING and ) blue cheese one extra (NUMBER large ) (SIZE pizza ) with blue cheese (TOPPING and ) (TOPPING mushrooms ) and one large pizza with blue cheese and ) )
139,(ORDER i'd like to (PIZZAORDER put in an order for a al (NUMBER anchovies ) onion and pineapple pizza ) )
140,(ORDER setae up (PIZZAORDER with a (NUMBER medium-sized ) (SIZE pizza ) with alfredo chicken and (TOPPING yellow ) (TOPPING peppers ) to (TOPPING go ) with two bottle of sprite ) )
141,(ORDER i want (PIZZAORDER to have (NUMBER a ) al (TOPPING ground ) (TOPPING beef ) pie with a bunch (TOPPING cheese ) and (TOPPING pesto ) ) )
142,(ORDER please may i (PIZZAORDER have (NUMBER 1 ) pizza might as well make it (SIZE medium ) on it i'd like low fat (STYLE cheese ) (TOPPING make ) it thin crust and no be sauce today that's ) )
143,(ORDER i like (PIZZAORDER (NUMBER a ) al be (TOPPING sauce ) and (TOPPING anchovies ) pizza with light on the cheese please ) )
144,(ORDER id like (PIZZAORDER (NUMBER 1 ) pie with (TOPPING artichokes ) heavy on (TOPPING chicken ) and without (NOT (TOPPING bacon ) ) ) )
145,(ORDER let me (PIZZAORDER pick (NUMBER 13 ) (STYLE me ) margarita pizza with (QUANTITY a ) (TOPPING gluten-free ) crust and prawns ) )
146,(ORDER (PIZZAORDER okay good afternoon i'd like a large-size (SIZE pizza ) with extra been peppers tuna (QUANTITY and ) mushrooms (TOPPING please ) ) )
147,(ORDER (PIZZAORDER can you order me (NUMBER a ) al pizza with (TOPPING tuna ) and (TOPPING bacon ) (TOPPING pepperoni ) ) )
148,(ORDER (PIZZAORDER hi how are you okay today i'd like to order a prawns (NUMBER and ) sauted spinach pizza but i do (TOPPING not ) want it on chicago stole ) )
149,(ORDER i think (PIZZAORDER ill grab (NUMBER 1 ) pizza with (TOPPING mexican ) and (TOPPING hamburger ) but do not add any (NOT (TOPPING olive ) on that ) ) )
150,(ORDER (PIZZAORDER i'll go for a total (NUMBER of ) a me pesto and (TOPPING ham ) pizza (TOPPING without ) tuna ) )
151,(ORDER (PIZZAORDER put an order in for (NUMBER 6 ) (SIZE extra ) (SIZE large ) (STYLE roasted ) tomatoes pizzas and (SIZE one ) (SIZE large ) (STYLE stuffed ) crust pizza ) )
152,(ORDER i would (PIZZAORDER like to place an order for (NUMBER a ) (SIZE personal ) pica with salami (TOPPING no ) sausage and all the (STYLE veggies ) ) )
153,(ORDER (PIZZAORDER good evening i ant to order (NUMBER a ) (SIZE lunch ) pizza with (TOPPING italian ) sausage (TOPPING chard ) and (TOPPING mushroom ) on it ) )
154,(ORDER i'd try (PIZZAORDER 2 large (NUMBER pizzas ) (SIZE with ) biggest and (TOPPING 2 ) large (NUMBER pizzas ) (SIZE with ) smoked salmon (TOPPING and ) extra cheese and six large (SIZE iceteas ) ) )
155,(ORDER (PIZZAORDER hi good afternoon for day i'd like 12 medium-ize (NUMBER sweet ) (SIZE potatoes ) and goat cheese (TOPPING pizzas ) please ) )
156,(ORDER could you (PIZZAORDER put in (NUMBER a ) (SIZE small ) pizza with (TOPPING tomato ) (TOPPING sauce ) (TOPPING spicy ) red sauce and (TOPPING spinach ) ) )
157,(ORDER i like (PIZZAORDER to have (NUMBER one ) (SIZE large ) pizza with (TOPPING tomato ) and (TOPPING chorizo ) and (TOPPING onions ) please ) )
158,(ORDER (PIZZAORDER (SIZE small ) pizza with (TOPPING ricotta ) (TOPPING cheese ) sauted spinach (TOPPING and ) no green (NOT (TOPPING pepper ) ) ) )
159,(ORDER (PIZZAORDER (NUMBER one ) (SIZE personal ) mexican pizza without roasted red onion and (NUMBER two ) (SIZE medium ) extra (TOPPING grilled ) (TOPPING chicken ) pizzas ) )
160,(ORDER id like (PIZZAORDER to put in an order for (NUMBER a ) pizza with sirach (TOPPING sauce ) (TOPPING and ) arugula without any sweet potatoes ) )
161,(ORDER i prefer (PIZZAORDER (NUMBER a ) pie with (TOPPING peppers ) and (TOPPING pineapple ) without (NOT (TOPPING tuna ) please ) ) )
162,(ORDER let's (PIZZAORDER arrange for me pie along with feta cheese (TOPPING and ) (TOPPING chicken ) ) )
163,(ORDER i need (PIZZAORDER to have (NUMBER two ) (STYLE me ) hawaiian pies with (TOPPING bacon ) and (TOPPING onions ) ) )
