id,tops,order
11,(ORDER i (PIZZAORDER would like to have (NUMBER a ) meium pie including black (TOPPING olves ) (TOPPING and ) olives but (TOPPING no ) pepperoni ) ),i would like to have a meium pie including black olves and olives but no pepperoni
12,(ORDER i'm going (PIZZAORDER to go with eleen lunch pizzas i (QUANTITY want ) capers on all of them as well as ham thanks ) ),i'm going to go with eleen lunch pizzas i want capers on all of them as well as ham thanks
13,(ORDER i'd like to (PIZZAORDER et a extra (NUMBER large ) (SIZE pizza ) added jalepeno peppers (TOPPING and ) (TOPPING jalapenos ) ham ) ),i'd like to et a extra large pizza added jalepeno peppers and jalapenos ham
14,(ORDER (PIZZAORDER please arrange to get thrteen green olives (TOPPING pizzas ) now ) ),please arrange to get thrteen green olives pizzas now
15,(ORDER (PIZZAORDER could you give me (NUMBER four ) (SIZE lunch ) pies along with capers added with ham (TOPPING and ) olives ) ),could you give me four lunch pies along with capers added with ham and olives
16,(ORDER i like (PIZZAORDER (NUMBER a ) (SIZE medium-sized ) pine apple (TOPPING and ) (TOPPING chicken ) pie (TOPPING with ) no a little bit cheese ) ),i like a medium-sized pine apple and chicken pie with no a little bit cheese
17,(ORDER (PIZZAORDER i'd like to put a order in for a medium (NUMBER pizza ) (SIZE with ) cheddar cheese (TOPPING and ) (TOPPING olive ) and (TOPPING no ) canadian bacon please ) ),i'd like to put a order in for a medium pizza with cheddar cheese and olive and no canadian bacon please
18,(ORDER (PIZZAORDER coud you get me a (NUMBER xl ) pizza with sausage (TOPPING and ) pickles (TOPPING but ) without roasted (NOT (TOPPING eggplant ) ) ) ),coud you get me a xl pizza with sausage and pickles but without roasted eggplant
19,(ORDER (PIZZAORDER i'llhave a capers and bacon (NUMBER pizza ) smal please and (TOPPING i ) want peppers on it too ) ),i'llhave a capers and bacon pizza smal please and i want peppers on it too
20,(ORDER lets get (PIZZAORDER (NUMBER two ) (SIZE large ) 7 ups (NUMBER one ) (SIZE medium ) sprite and an (SIZE a ) (SIZE lot ) (STYLE of ) (SIZE large ) (STYLE vegn ) pizza with a lot (STYLE of ) (STYLE pineapple ) and a (SIZE lot ) of mushrooms ) ),lets get two large 7 ups one medium sprite and an a lot of large vegn pizza with a lot of pineapple and a lot of mushrooms
21,(ORDER i'd have a large (PIZZAORDER (NUMBER capers ) (SIZE sweet ) corn tuna pie ) ),i'd have a large capers sweet corn tuna pie
22,(ORDER (PIZZAORDER could you get me (NUMBER a ) lage pie along with yellow (TOPPING peppers ) (TOPPING lamb ) but please avoid extra (NOT (QUANTITY hams ) ) ) ),could you get me a lage pie along with yellow peppers lamb but please avoid extra hams
23,(ORDER i wish (PIZZAORDER to have (NUMBER 1 ) pizza let's do parmesan (TOPPING and ) leeks toppings and please: zero olives ) ),i wish to have 1 pizza let's do parmesan and leeks toppings and please: zero olives
24,(ORDER (PIZZAORDER (NUMBER four ) (SIZE personal ) pizzas with (TOPPING tomato ) and (TOPPING pickles ) ) ),four personal pizzas with tomato and pickles
25,(ORDER (PIZZAORDER for oday please make me a (NUMBER pesonal ) pickled onions sausage (TOPPING pizza ) with (TOPPING a ) little bit cheese ) ),for oday please make me a pesonal pickled onions sausage pizza with a little bit cheese
26,(ORDER (PIZZAORDER (NUMBER twelve ) xl pizzas with (TOPPING red ) (TOPPING onions ) garlic and (TOPPING ham ) ) ),twelve xl pizzas with red onions garlic and ham
27,(ORDER i need (PIZZAORDER to lace an order for (SIZE a ) (SIZE medium-size ) pizza with alfredo chicken (TOPPING carrots ) and (TOPPING pineapple ) please ) ),i need to lace an order for a medium-size pizza with alfredo chicken carrots and pineapple please
28,(ORDER (PIZZAORDER (NUMBER a ) (SIZE personal ) pizza with (TOPPING pineapple ) lamb (TOPPING onions ) (TOPPING pine ) (TOPPING apple ) bacon sausage and a lot of (TOPPING cheese ) ) ),a personal pizza with pineapple lamb onions pine apple bacon sausage and a lot of cheese
29,(ORDER i'd (PIZZAORDER prefer to go with a large-size (SIZE pizza ) (SIZE with ) everything meatball but without (TOPPING mushrooms ) ) ),i'd prefer to go with a large-size pizza with everything meatball but without mushrooms
30,(ORDER (PIZZAORDER could you get me (NUMBER a ) (SIZE personal ) pizza with mushy peas and (TOPPING mint ) and (TOPPING please ) hold the pepperoni that's (TOPPING all ) ) ),could you get me a personal pizza with mushy peas and mint and please hold the pepperoni that's all
31,(ORDER (PIZZAORDER start an order for (NUMBER a ) (SIZE lunch ) pizza with capers (TOPPING and ) a (NUMBER combiation ) but no garlic ) ),start an order for a lunch pizza with capers and a combiation but no garlic
32,(ORDER good afternoon i'm (PIZZAORDER in the mood for a medium-ize (NUMBER with ) (SIZE black ) beans and pineapple no (TOPPING sausage ) ) ),good afternoon i'm in the mood for a medium-ize with black beans and pineapple no sausage
33,(ORDER (PIZZAORDER please arrange to get (NUMBER a ) zucchini and mint pizza with bacon (TOPPING on ) it ) ),please arrange to get a zucchini and mint pizza with bacon on it
34,(ORDER (PIZZAORDER let's see i want a a (NUMBER pizza ) (SIZE and ) make it everythig style also i want double (TOPPING hummus ) but no gorgonzola that's all ) ),let's see i want a a pizza and make it everythig style also i want double hummus but no gorgonzola that's all
35,(ORDER (PIZZAORDER good evening how are you please put up (NUMBER two ) (SIZE medium-sized ) pizzas with black olives (TOPPING and ) (TOPPING bacon ) but (TOPPING hold ) the a little cheese please ) ),good evening how are you please put up two medium-sized pizzas with black olives and bacon but hold the a little cheese please
36,(ORDER i'm having (PIZZAORDER a bunch (NUMBER of ) people over tonight so i need a large (NUMBER pie ) (SIZE for ) the toppings i'd (TOPPING like ) banna peppers and onions but please make sure there is ) ),i'm having a bunch of people over tonight so i need a large pie for the toppings i'd like banna peppers and onions but please make sure there is no ham on there thanks
37,(ORDER (PIZZAORDER (NUMBER 3 ) broccoli and (NUMBER zucchini ) (DRINKTYPE pizzas ) ) ),3 broccoli and zucchini pizzas
38,(ORDER i'd be (PIZZAORDER happy with a medium-size (SIZE pizza ) (SIZE with ) jalepenos and cheese but (TOPPING no ) lamb ) ),i'd be happy with a medium-size pizza with jalepenos and cheese but no lamb
39,(ORDER i would (PIZZAORDER like your (NUMBER a ) (SIZE large-size ) with lmon zest onions and pineapples ) ),i would like your a large-size with lmon zest onions and pineapples
40,(ORDER (PIZZAORDER please put up sevn (NUMBER small ) (SIZE pizzas ) with zucchini (TOPPING and ) onions and add sevn bottles of sprite with it ) ),please put up sevn small pizzas with zucchini and onions and add sevn bottles of sprite with it
41,(ORDER i need (PIZZAORDER an order placed for (NUMBER a ) xl pie with (TOPPING pepper ) hamburger (TOPPING pineapple ) ) ),i need an order placed for a xl pie with pepper hamburger pineapple
42,(ORDER (PIZZAORDER for tonight i just want (NUMBER fourteen ) pies with (TOPPING bell ) (TOPPING peppers ) and (TOPPING lees ) but don't add pepperoni ) ),for tonight i just want fourteen pies with bell peppers and lees but don't add pepperoni
43,(ORDER (PIZZAORDER (NUMBER 14 ) med a (STYLE little ) (QUANTITY bit ) (STYLE green ) pepper a (STYLE little ) (QUANTITY bit ) (TOPPING cheeseburger ) pizzas please ) ),14 med a little bit green pepper a little bit cheeseburger pizzas please
44,(ORDER (PIZZAORDER (NUMBER two ) prsonal pizzas with pine apple (TOPPING and ) (TOPPING low ) fat (TOPPING cheese ) ) ),two prsonal pizzas with pine apple and low fat cheese
45,(ORDER tonight i'm (PIZZAORDER in the mood or 7 extra (NUMBER large ) (SIZE pizzas ) with feta cheese (TOPPING mushrooms ) and (TOPPING black ) olives (TOPPING and ) six large (NUMBER pizzas ) (SIZE with ) pepperoni sausage and mushrooms ) ),tonight i'm in the mood or 7 extra large pizzas with feta cheese mushrooms and black olives and six large pizzas with pepperoni sausage and mushrooms
46,(ORDER i love (PIZZAORDER to have (NUMBER a ) (SIZE medium-sized ) vegetarian (STYLE pizza ) (STYLE with ) tomatoes and (TOPPING fresh ) red cabbage ) ),i love to have a medium-sized vegetarian pizza with tomatoes and fresh red cabbage
47,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium-sized ) pizza with basil and (TOPPING capers ) ) ),a medium-sized pizza with basil and capers
48,(ORDER i want (PIZZAORDER to finalize with a (SIZE extra ) (SIZE large ) (STYLE all ) (STYLE the ) veggies pizza and a (NUMBER two ) (VOLUME liter moutain ) (DRINKTYPE dew ) ) ),i want to finalize with a extra large all the veggies pizza and a two liter moutain dew
49,(ORDER id like (PIZZAORDER to secure lage pizza along with red (TOPPING onion ) (TOPPING and ) kimchi (TOPPING but ) hold onions ) ),id like to secure lage pizza along with red onion and kimchi but hold onions
50,(ORDER i think (PIZZAORDER ill stick with (SIZE seven ) (SIZE lunch ) sized pizzas with (TOPPING bacon ) and (TOPPING ham ) on them ) ),i think ill stick with seven lunch sized pizzas with bacon and ham on them
51,(ORDER i ould (PIZZAORDER love to get one (NUMBER xl ) pie along with mint (TOPPING and ) big (TOPPING meat ) (TOPPING but ) hold pepperoni ) ),i ould love to get one xl pie along with mint and big meat but hold pepperoni
52,(ORDER (PIZZAORDER please help me order (NUMBER three ) (SIZE small ) pizzas i want bacon on all of (TOPPING them ) as well as ham thanks ) ),please help me order three small pizzas i want bacon on all of them as well as ham thanks
53,(ORDER (PIZZAORDER for today i just want (NUMBER a ) pizza with (TOPPING ricotta ) (TOPPING cheese ) (TOPPING ham ) and (TOPPING tuna ) ) ),for today i just want a pizza with ricotta cheese ham and tuna
54,(ORDER i'd be (PIZZAORDER interested in a medium (NUMBER ham ) (SIZE and ) (TOPPING bacon ) pie (TOPPING with ) extra cheese ) ),i'd be interested in a medium ham and bacon pie with extra cheese
55,(ORDER i just need (PIZZAORDER (NUMBER a ) cucumber and pesto pizza (TOPPING without ) all the (NOT (STYLE vegies ) ) ) ),i just need a cucumber and pesto pizza without all the vegies
56,(ORDER we need (PIZZAORDER (NUMBER a ) pizza and make sure there's heavy on tomatoe sauce on it (TOPPING and ) red onion sauce (TOPPING on ) (TOPPING there ) also but (TOPPING definitely ) no red onion thanks a lot ) ),we need a pizza and make sure there's heavy on tomatoe sauce on it and red onion sauce on there also but definitely no red onion thanks a lot
57,(ORDER let me (PIZZAORDER secure (NUMBER a ) (STYLE med ) pizza with (TOPPING sauce ) (TOPPING ground ) beef onions and (TOPPING mushrooms ) with a (QUANTITY med ) (TOPPING lemonice ) tea ) ),let me secure a med pizza with sauce ground beef onions and mushrooms with a med lemonice tea
58,(ORDER (PIZZAORDER (NUMBER 11 ) (SIZE large-size ) pizzas with banana pepper (TOPPING and ) parmasan ) ),11 large-size pizzas with banana pepper and parmasan
59,(ORDER i would like (PIZZAORDER (NUMBER fifteen ) pizzas topped with (TOPPING mushroom ) and (NUMBER four ) (DRINKTYPE diet sprites ) which are xl along with three pepsis ) ),i would like fifteen pizzas topped with mushroom and four diet sprites which are xl along with three pepsis
60,(ORDER let me have (PIZZAORDER (NUMBER a ) (SIZE personal ) pizza with (TOPPING artichokes ) and (TOPPING balsamic ) glaze do (TOPPING not ) (TOPPING include ) sauce ) ),let me have a personal pizza with artichokes and balsamic glaze do not include sauce
61,(ORDER please make me (DRINKORDER (NUMBER 14 ) (SIZE small ) (DRINKTYPE cherry ) pepi (NUMBER one ) (NUMBER medium ) (DRINKTYPE coke ) two (SIZE small ) (DRINKTYPE sprites ) and (NUMBER three ) (SIZE small ) (DRINKTYPE ice teas ) ) ),please make me 14 small cherry pepi one medium coke two small sprites and three small ice teas
62,(ORDER (PIZZAORDER put in the order for (NUMBER a ) (STYLE med ) pie along with (TOPPING green ) cheeseburger (TOPPING cheeseburger ) but hold tuna ) ),put in the order for a med pie along with green cheeseburger cheeseburger but hold tuna
63,(ORDER i have (PIZZAORDER (NUMBER a ) pizza and i have the (SIZE large ) size but i'd like red onion on there as well as peas (TOPPING and ) pepperoni thanks a lot ) ),i have a pizza and i have the large size but i'd like red onion on there as well as peas and pepperoni thanks a lot
64,(ORDER i love (PIZZAORDER to hae a (NUMBER pizza ) with ricotta (TOPPING cheese ) (TOPPING peas ) (TOPPING but ) do not add (TOPPING onions ) ) ),i love to hae a pizza with ricotta cheese peas but do not add onions
65,(ORDER can i try (PIZZAORDER (NUMBER a ) smoked salmon and (TOPPING sausage ) pie with (TOPPING pepperoni ) ) ),can i try a smoked salmon and sausage pie with pepperoni
66,(ORDER (PIZZAORDER looking for 7 bottle spries and a (SIZE extralarge ) (SIZE grilled ) chickn and (TOPPING bacon ) pizza ) ),looking for 7 bottle spries and a extralarge grilled chickn and bacon pizza
67,(ORDER i'd like (PIZZAORDER 1 small (NUMBER pie ) (SIZE with ) balsamic gaze (TOPPING pesto ) (TOPPING but ) with no pepperoni please ) ),i'd like 1 small pie with balsamic gaze pesto but with no pepperoni please
68,(ORDER (PIZZAORDER good afternoon i'm in the mood for a roasted tomatoes and (TOPPING pesto ) pizza (TOPPING but ) i do not want it on big meat ) ),good afternoon i'm in the mood for a roasted tomatoes and pesto pizza but i do not want it on big meat
69,(ORDER (PIZZAORDER good evening how are you please put up (NUMBER a ) (SIZE extra ) lage hot (TOPPING pepers ) (TOPPING and ) pineapple (TOPPING pizza ) with no ham ) ),good evening how are you please put up a extra lage hot pepers and pineapple pizza with no ham
70,(ORDER (PIZZAORDER for toay please make me a (SIZE medium-size ) (SIZE pizza ) with garlic and pesto (TOPPING but ) no (TOPPING chorizo ) ) ),for toay please make me a medium-size pizza with garlic and pesto but no chorizo
71,(ORDER i'm (PIZZAORDER leaning toward 1 small (NUMBER pizza ) (SIZE please ) make sure there to make that with cheese on (TOPPING it ) as well as red onion (TOPPING and ) please i don't want ground beef ) ),i'm leaning toward 1 small pizza please make sure there to make that with cheese on it as well as red onion and please i don't want ground beef
72,(ORDER i wish (PIZZAORDER to have (NUMBER a ) (SIZE mdium-sized ) pizza with green bell peppers (TOPPING buffalo ) (TOPPING sauce ) (TOPPING and ) (TOPPING extra ) prmesan ) ),i wish to have a mdium-sized pizza with green bell peppers buffalo sauce and extra prmesan
73,(ORDER (PIZZAORDER (NUMBER 1 ) (SIZE lunch ) pizza with (TOPPING tofu ) and (TOPPING lettuce ) ) ),1 lunch pizza with tofu and lettuce
74,(ORDER i like (PIZZAORDER (NUMBER a ) (SIZE personal ) pizza with (TOPPING green ) pepper (TOPPING gruyere ) cheese (TOPPING but ) (TOPPING do ) not add any peppers please ) ),i like a personal pizza with green pepper gruyere cheese but do not add any peppers please
75,(ORDER i'm (PIZZAORDER going to go with 6 pizzas (NUMBER along ) with leeks and (TOPPING carrots ) but hold peppers ) ),i'm going to go with 6 pizzas along with leeks and carrots but hold peppers
76,"(ORDER (PIZZAORDER this time, i'll take a small pie (NUMBER along ) (SIZE banana ) peppr and (TOPPING some ) a tiny bit of (QUANTITY cheese ) (STYLE but ) hold (TOPPING olives ) ) )","this time, i'll take a small pie along banana peppr and some a tiny bit of cheese but hold olives"
77,(ORDER i feel (PIZZAORDER ike ordering (NUMBER a ) pizza in (SIZE extra ) large size along with (TOPPING jalepenos ) tomato (TOPPING sauce ) but without gree olives ) ),i feel ike ordering a pizza in extra large size along with jalepenos tomato sauce but without gree olives
78,(ORDER (PIZZAORDER (NUMBER 5 ) lnch pizzas with buffalo (TOPPING sauce ) and artichokes ) ),5 lnch pizzas with buffalo sauce and artichokes
79,(ORDER (PIZZAORDER (NUMBER 11 ) (SIZE medium-szed ) pizzas with buffalo sauce (TOPPING and ) (TOPPING pesto ) (TOPPING sauce ) ) ),11 medium-szed pizzas with buffalo sauce and pesto sauce
80,(ORDER i need (PIZZAORDER to order (NUMBER 9 ) (TOPPING carrots ) and (TOPPING black ) (TOPPING olive ) pizza with no (NOT (TOPPING pesto ) ) ) ),i need to order 9 carrots and black olive pizza with no pesto
81,(ORDER (PIZZAORDER could you please arrange for (NUMBER a ) (SIZE medium ) pizza with (TOPPING bbq ) (TOPPING sauce ) and (TOPPING veganpepperoni ) ) ),could you please arrange for a medium pizza with bbq sauce and veganpepperoni
82,(ORDER (PIZZAORDER let's see i want a ten (NUMBER pizzas ) with peas and ten Sparkling (NUMBER lemonade ) and one coke ) ),let's see i want a ten pizzas with peas and ten Sparkling lemonade and one coke
83,(ORDER (PIZZAORDER good evening for tonight i'd lie to try four med (NUMBER pizzas ) with hams and (TOPPING roasted ) red onion and also include six almnd milk and two sprites ) ),good evening for tonight i'd lie to try four med pizzas with hams and roasted red onion and also include six almnd milk and two sprites
84,(ORDER could you (PIZZAORDER put in (NUMBER five ) (SIZE large ) pizzas with (TOPPING light ) (TOPPING jalepenos ) and (NUMBER five ) cans of Latts ) ),could you put in five large pizzas with light jalepenos and five cans of Latts
85,(ORDER tonight i want (PIZZAORDER fifeen pizzas with spicy (TOPPING red ) (TOPPING sauce ) (TOPPING leeks ) but hold any bacon ) ),tonight i want fifeen pizzas with spicy red sauce leeks but hold any bacon
86,(ORDER place (PIZZAORDER an orer for pizza which is (TOPPING bacon ) (TOPPING tuna ) and add some litle cheese ) ),place an orer for pizza which is bacon tuna and add some litle cheese
87,(ORDER (PIZZAORDER put in he order for (NUMBER 13 ) bell pine (TOPPING apple ) pizzas along with all the (TOPPING meats ) (TOPPING pine ) apple ) ),put in he order for 13 bell pine apple pizzas along with all the meats pine apple
88,(ORDER i like (PIZZAORDER to have (NUMBER a ) (SIZE extra ) large pizza with (STYLE everything ) plus (TOPPING light ) (TOPPING cheese ) and (TOPPING light ) bacon and (NUMBER four ) (SIZE extra ) large Lates with sugar and (SIZE two ) (SIZE extra ) large Lates with ) ),i like to have a extra large pizza with everything plus light cheese and light bacon and four extra large Lates with sugar and two extra large Lates with no sugar
89,(ORDER (PIZZAORDER for today i just want (NUMBER a ) (TOPPING garlic ) and (TOPPING tomatoe ) sauce (TOPPING pie ) with mushrooms ) ),for today i just want a garlic and tomatoe sauce pie with mushrooms
90,(ORDER i'll make (PIZZAORDER my choice as a pineapples (NUMBER and ) (TOPPING beef ) pie (TOPPING with ) additional onion ) ),i'll make my choice as a pineapples and beef pie with additional onion
91,(ORDER (PIZZAORDER good evening for tnight i'd like to try pie along with double sweet potatoes and (TOPPING some ) onions pepperoni (TOPPING please ) ) ),good evening for tnight i'd like to try pie along with double sweet potatoes and some onions pepperoni please
92,(ORDER i wish (PIZZAORDER to have (NUMBER 14 ) (SIZE medium-sized ) pizzas with brocoli and (TOPPING onions ) and (TOPPING add ) 14 (NUMBER cans ) of Appe juice with it ) ),i wish to have 14 medium-sized pizzas with brocoli and onions and add 14 cans of Appe juice with it
93,(ORDER please give me (PIZZAORDER (NUMBER 11 ) mexian olives (TOPPING and ) arichokes (TOPPING pizzas ) ) ),please give me 11 mexian olives and arichokes pizzas
94,(ORDER (PIZZAORDER could you give me (NUMBER a ) (SIZE lunch ) pie with (TOPPING peppers ) (TOPPING smoked ) salmon and (TOPPING tuna ) ) ),could you give me a lunch pie with peppers smoked salmon and tuna
95,(ORDER i would (PIZZAORDER like to place an order for (NUMBER a ) pizza with (TOPPING smoked ) salmon and (TOPPING tuna ) but please other than deep dish ) ),i would like to place an order for a pizza with smoked salmon and tuna but please other than deep dish
96,(ORDER (PIZZAORDER can yo get me (NUMBER 13 ) (SIZE personal ) hawiian pizzas with onion and (TOPPING sausage ) ) ),can yo get me 13 personal hawiian pizzas with onion and sausage
97,(ORDER (PIZZAORDER i'll try 9 d (NUMBER peppers ) (DRINKTYPE six ) extra (NUMBER large ) (SIZE fantas ) (SIZE and ) (DRINKTYPE six ) extra (NUMBER large ) (SIZE cokes ) ) ),i'll try 9 d peppers six extra large fantas and six extra large cokes
98,(ORDER (PIZZAORDER how about fiing me up with 2 (NUMBER pizzas ) with olives (TOPPING canadian ) (TOPPING bacon ) and cuumber ) ),how about fiing me up with 2 pizzas with olives canadian bacon and cuumber
99,(ORDER (PIZZAORDER i've decided to order 1 Milkshakes (NUMBER six ) (DRINKTYPE extra ) large diet (NUMBER cokes ) (SIZE and ) a (DRINKTYPE medium fanta ) ) ),i've decided to order 1 Milkshakes six extra large diet cokes and a medium fanta
100,(ORDER lt me secure (PIZZAORDER (NUMBER one ) (STYLE med ) pie along with (TOPPING smoked ) (TOPPING salmon ) and (TOPPING veggie ) (TOPPING green ) olives ) ),lt me secure one med pie along with smoked salmon and veggie green olives
101,(ORDER (PIZZAORDER cani order (NUMBER a ) pie which is lrge size along with feta (TOPPING and ) additional cheese (TOPPING without ) onions ) ),cani order a pie which is lrge size along with feta and additional cheese without onions
102,(ORDER (PIZZAORDER start an oder for (NUMBER a ) (SIZE small ) pie with (TOPPING grilled ) (TOPPING chicken ) and (TOPPING roasted ) garlic but please leave off (TOPPING green ) bell peppers ) ),start an oder for a small pie with grilled chicken and roasted garlic but please leave off green bell peppers
103,(ORDER i need (PIZZAORDER an order f (NUMBER a ) xl bell (TOPPING peppers ) pizza with (NUMBER a ) (SIZE medium ) (DRINKTYPE Club soda ) ) ),i need an order f a xl bell peppers pizza with a medium Club soda
104,(ORDER i'll (PIZZAORDER go head and order a large (NUMBER cumin ) (SIZE and ) (TOPPING chicken ) pie (TOPPING without ) olives please ) ),i'll go head and order a large cumin and chicken pie without olives please
105,(ORDER (PIZZAORDER could you put n (NUMBER two ) (SIZE large ) pizzas with (TOPPING pickled ) onons and olives and then add a small pizza with a drizzle cheese ) ),could you put n two large pizzas with pickled onons and olives and then add a small pizza with a drizzle cheese
106,(ORDER i'd love (PIZZAORDER to try out one personal (NUMBER pizza ) (SIZE with ) sun-dried tomatoes and (NOT (TOPPING peas ) and bbq (TOPPING sauce ) please ) ) ),i'd love to try out one personal pizza with sun-dried tomatoes and peas and bbq sauce please
107,(ORDER i wish to (PIZZAORDER have six chard and (TOPPING broccli ) pizza with alot of cheese ) ),i wish to have six chard and broccli pizza with alot of cheese
108,(ORDER hook me up (PIZZAORDER with (NUMBER a ) xl pizza with (TOPPING pepperonis ) and (TOPPING beef ) but no (NOT (TOPPING sweet ) corn ) ) ),hook me up with a xl pizza with pepperonis and beef but no sweet corn
109,(ORDER i lie (PIZZAORDER to (NUMBER a ) pie with (TOPPING pepperoni ) and please give stuff crust and add some extra (TOPPING cheese ) ) ),i lie to a pie with pepperoni and please give stuff crust and add some extra cheese
110,(ORDER (PIZZAORDER can you get me (NUMBER 5 ) (SIZE large ) pies with (TOPPING bacon ) (TOPPING chicken ) but i need to (NOT (TOPPING avoid ) (NOT (TOPPING ham ) ) ) ),can you get me 5 large pies with bacon chicken but i need to avoid ham
111,(ORDER allow me to (PIZZAORDER oder (NUMBER a ) (TOPPING olives ) pizza with (TOPPING green ) (TOPPING pepper ) and no (NOT (TOPPING pesto ) ) ) ),allow me to oder a olives pizza with green pepper and no pesto
112,(ORDER let me (PIZZAORDER try (NUMBER a ) (SIZE lrge-size ) pizza with meatball and fontina (TOPPING heese ) but i'm not in the mood for sausage ) ),let me try a lrge-size pizza with meatball and fontina heese but i'm not in the mood for sausage
113,(ORDER get me (PIZZAORDER (NUMBER a ) pizza and please put some (TOPPING pickled ) onions (TOPPING on ) there with ham (TOPPING and ) tuna (TOPPING okay ) ) ),get me a pizza and please put some pickled onions on there with ham and tuna okay
114,(ORDER please i want (PIZZAORDER eigt xl pizzas and please do them both with sriracha sauce and mushrooms and make sure there's no olives ) ),please i want eigt xl pizzas and please do them both with sriracha sauce and mushrooms and make sure there's no olives
115,(ORDER i will (PIZZAORDER get 1 pizza in xl (SIZE size ) along with (QUANTITY red ) (TOPPING onions ) and (TOPPING yellow ) (TOPPING peppers ) but without (NOT (TOPPING ham ) ) ) ),i will get 1 pizza in xl size along with red onions and yellow peppers but without ham
116,(ORDER (PIZZAORDER (NUMBER sven ) (SIZE large-size ) pizzas with tuna beef (TOPPING and ) (TOPPING garlic ) powder ) ),sven large-size pizzas with tuna beef and garlic powder
117,(ORDER (PIZZAORDER do me (NUMBER a ) favor and please put (TOPPING up ) a (STYLE med ) (TOPPING buffalo ) sauce pizza with (TOPPING red ) cabage and (NUMBER two ) (NUMBER med ) (DRINKTYPE drpepper please ) ) ),do me a favor and please put up a med buffalo sauce pizza with red cabage and two med drpepper please
118,(ORDER (PIZZAORDER let's finalize with a buffalo sauce and (TOPPING lamb ) (TOPPING pie ) with (TOPPING no ) chicken ) ),let's finalize with a buffalo sauce and lamb pie with no chicken
119,(ORDER good evening want (PIZZAORDER (NUMBER 1 ) (SIZE medium-sized ) garlic and mushroom pizza (TOPPING with ) no a little bit cheese (QUANTITY please ) ) ),good evening  want 1 medium-sized garlic and mushroom pizza with no a little bit cheese please
120,(ORDER (PIZZAORDER for today i just want (NUMBER a ) (SIZE lunch ) mexican pizza a (SIZE lunch ) gorgonzola pizza and a lunch (NUMBER veggie ) (SIZE pizza ) ) ),for today i just want a lunch mexican pizza a lunch gorgonzola pizza and a lunch veggie pizza
121,(ORDER (PIZZAORDER please hep me order a (NUMBER medium ) (SIZE pizza ) with jalepeno (TOPPING peppers ) (TOPPING and ) gruyere cheese and i do not want all the veggies ) ),please hep me order a medium pizza with jalepeno peppers and gruyere cheese and i do not want all the veggies
122,(ORDER (PIZZAORDER hi tonight iwant a spinach (NUMBER pizza ) (TOPPING with ) double pickles and (TOPPING no ) pesto ) ),hi tonight iwant a spinach pizza with double pickles and no pesto
